Requirement Text,Requirement Type,Source Dataset
"The MCCC shall be a high availability type generalpurpose computer capable of supporting multiple Ethernet interfaces, COTS operating systems, and support server/host services for the CMIB operating system.",Non-Functional,GitHub SRS
The MCCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration.,Non-Functional,GitHub SRS
"The CPCC shall be able to function as a high availability computer for real-time correlator operations, hardware monitoring/control, and remote PLD/FPGA updates.",Non-Functional,GitHub SRS
The CPCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration.,Non-Functional,GitHub SRS
"The CMCS processors shall be capable of responding to correlator hardware inputs (interrupts) in a deterministic fashion with sufficient performance to avoid data loss, corruption or overflows.",Non-Functional,GitHub SRS
"The system shall function as a high availability computer for real-time tasks including correlation, hardware management, and remote updates.",Non-Functional,GitHub SRS
"All system error and debug messages shall be categorized in a logical fashion such that message traffic can be filtered as to content, detail, and message rate.",Non-Functional,GitHub SRS
All messages passed between CMCS system layers shall have both UTC and wall clock time stamp information appropriate for the message type.,Non-Functional,GitHub SRS
"Software shall be provided that allows an authorized user full access to all messaging, monitor, and control traffic throughout the CMCS.",Non-Functional,GitHub SRS
"The CMCS shall autonomously monitor and respond to hardware issues, software crashes, resource limitations, errors, and communication failures.",Non-Functional,GitHub SRS
The system shall be able to continue processing of all correlator configuration/control events until the queues of parameters are exhausted and external communications are restored,Non-Functional,GitHub SRS
The system shall be able to sit at idle and resume operations with minimal (amount TBD) delay.,Non-Functional,GitHub SRS
All software modules shall be designed for easy debugging by allowing simulation of inputs and outputs.,Non-Functional,GitHub SRS
"All software processes shall be killable, restartable, debuggable and testable with minimal impact on normal system operations.",Non-Functional,GitHub SRS
"Transparency shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables.",Non-Functional,GitHub SRS
"Seamlessness shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces.",Non-Functional,GitHub SRS
"All users of the system shall login using some form of unique identification. (e.g., username and password)",Non-Functional,GitHub SRS
Each user shall have a set of system access properties that defines the users privileges within the system.,Non-Functional,GitHub SRS
The administrator shall have the ability to edit a users system access properties.,Non-Functional,GitHub SRS
The system shall utilize a modular design with hot-swappable components for maximum repairability and uptime.,Non-Functional,GitHub SRS
The system shall provide complete and understandable hardware specifications and configuration details.,Non-Functional,GitHub SRS
Software Coding Practices software system and application code shall be well documented and written in a generally familiar language or languages.,Non-Functional,GitHub SRS
The system shall allow agents to broadcast messages to all other agents on the same local network.,Functional,GitHub SRS
The system shall allow agents to multicast messages to all other agents subscribed to the same multicast address.,Functional,GitHub SRS
The system shall allow agents to send targeted messages (unicast) to specific agents within the organization.,Functional,GitHub SRS
"The system shall allow agents to select between unicast, multicast, and broadcast communication.",Functional,GitHub SRS
"The system shall support agent membership in multicast groups, allowing them to join and leave.",Functional,GitHub SRS
The system shall support secure communication through message encryption and decryption techniques.,Non-Functional,GitHub SRS
The system shall allow agents to optionally encrypt messages.,Functional,GitHub SRS
"The system shall use a best-effort multicast/broadcast approach, where delivery of packets to all specified agents is not guaranteed.",Non-Functional,GitHub SRS
The system shall encrypt messages but cannot guarantee confidentiality due to potential decryption by unauthorized parties.,Non-Functional,GitHub SRS
"The system shall support multicast protocols for sending multicast messages, requiring compatible routers, network cards, and operating systems.",Non-Functional,GitHub SRS
The system shall restrict broadcast message transmission to authorized administrators only.,Non-Functional,GitHub SRS
The tool shall limit general users to a specific set of functionalities.,Functional,GitHub SRS
"The automated diagnostic tool shall input sensed data in real time from data acquisition devices and the HVAC unit under diagnosis as well as from data files containing previously acquired data, though not simultaneously.",Functional,GitHub SRS
The tool shall input sensed data in real time from data acquisition devices and the HVAC unit under diagnosis.,Functional,GitHub SRS
"The tool shall permit sensed data to be input from an electronic file, though not simultaneously with sensed data from external acquisition hardware.",Functional,GitHub SRS
"The system shall qualify the certainty of each sensed data item during acquisition, flagging doubtful data due to errors or unexpected values.",Functional,GitHub SRS
The system shall identify potentially faulty sensor data based on a sensor-specific number of consecutive missed readings due to communication issues.,Functional,GitHub SRS
Sensed data used in or supporting diagnostic analyses shall be saved to permanent storage.,Functional,GitHub SRS
"The occurrence of missing data shall be indicated in permanent storage by a unique and obvious place holder or indicator, e.g., a null value or sequence of characters that cannot be confused with nonmissing data.",Functional,GitHub SRS
Sensed data input to the tool shall be stored to permanent storage with a precision of three significant figures.,Functional,GitHub SRS
The administrator shall have the capability to modify the expected range of sensed data against which the data will be validated.,Functional,GitHub SRS
The tool shall associate with each continuous parameter one or more tolerances each corresponding to a different sensitivity level for the tool.,Functional,GitHub SRS
"Any and all errors associated with obtaining, validating, converting, or storing the sensed data shall be logged as described in subsequent specifications and selected errors shall be reported to the user.",Functional,GitHub SRS
The automated diagnostic tool shall detect and identify certain performance and operational faults in chiller and cooling tower subsystems of HVAC units following specified algorithms.,Non-Functional,GitHub SRS
The tool shall be designed to permit the addition of diagnostic algorithms for other subsystems of HVAC units.,Non-Functional,GitHub SRS
Any and all errors associated with failures of the diagnostic algorithms shall be logged as described in subsequent specifications and selected errors shall be reported to the user.,Non-Functional,GitHub SRS
"The tool shall monitor the unit under diagnosis, either in real time or batch mode, for an indefinite period of time or until input data are no longer available, and log diagnostic results as they are determined.",Functional,GitHub SRS
"Diagnostic results that are saved to permanent storage shall be accompanied in storage by the absolute time of occurrence, the identity of the unit to which the diagnostic applies, and the identity of the diagnostic.",Functional,GitHub SRS
The administrator user shall have the capability to adjust the sensitivity of the diagnostic analysis in order to increase or decrease the probability of fault detection.,Functional,GitHub SRS
"The automated diagnostic tool shall display and record diagnostic results. Diagnostic results to be displayed to the user will be done so in a simple, graphical and textual format.",Functional,GitHub SRS
"The administrator shall have the ability to specify which diagnostic results will not be reported in any manner, i.e., not detected.",Functional,GitHub SRS
"The system shall recognize user selection (by mouse) across the entire width of an item, including its diagnostic indicators, in main, systems, and condition windows.",Functional,GitHub SRS
The windows listing diagnostic results shall increase in height as needed to display entries up to a maximum of ten entries.,Functional,GitHub SRS
"The building, subsystems, and condition windows shall display the current time if the diagnostic tool is operating in real time.",Functional,GitHub SRS
"If only a single building is defined, the subsystems window shall become the main window of the application and shall have all the functionality of the main window as described in these specifications.",Functional,GitHub SRS
"Each window of the diagnostic tool shall display an animated graphical feature indicating the status, whether active or not, of the diagnostic processing.",Functional,GitHub SRS
"The subsystem window shall be modal to the building window, the condition window modal to the subsystem window, and the diagnostic history and diagnostic information windows shall be modal to the condition window.",Functional,GitHub SRS
Significant errors in software operation shall be logged to permanent storage with sufficient detail to guide the administrator and to assist support staff in locating and rectifying the error.,Functional,GitHub SRS
"Software errors logged to permanent storage shall include the absolute time of occurrence, the name of the software module in which the error occurred, the name of the software function in which the error occurred, and a description of the error.",Functional,GitHub SRS
"The user interface shall consist of six windows: Main window, configuration window, subsystems window, condition window, diagnostic information window, and diagnostic history window.",Functional,GitHub SRS
The main window shall list buildings monitored and summarizing the current diagnostic status of all contained monitored units.,Functional,GitHub SRS
The main window shall have main menus entitled File and Status.,Functional,GitHub SRS
"The File menu shall offer Configure Diagnostics, Logout, and Exit in that order.",Functional,GitHub SRS
The system shall offer a Status main menu with Start Diagnostics and Stop Diagnostics in that order.,Functional,GitHub SRS
The menu items named Configure Diagnostics and Exit in the main menu entitled File shall be enabled at all times,Functional,GitHub SRS
The system shall only enable the Logout menu item in the File menu if the current user is authenticated as the administrator.,Functional,GitHub SRS
"The Start Diagnostics menu item in the Status menu shall be enabled only when diagnostics aren't running, otherwise, it shall be disabled.",Functional,GitHub SRS
The Stop Diagnostics menu item in the Status menu shall be enabled only when diagnostics are running and disabled otherwise.,Functional,GitHub SRS
"Selecting Configure Diagnostics from the File menu shall open the configuration window modally, making it the active window in front of the main window.",Functional,GitHub SRS
The configuration window shall have a button labeled Save that when clicked will present the user with a window by which to enter a disk file or database name in which to save the modifiable data in the window.,Functional,GitHub SRS
The configuration window shall have a button labeled Close that will dismiss the configuration window and return the user to the main window.,Functional,GitHub SRS
The configuration window shall have a button labeled Recall that will permit the user to recall a disk file of previously saved parameters from which to populate the configuration window.,Functional,GitHub SRS
The subsystems window shall list subsystems monitored for a specific building and summarizing the current diagnostic status of all monitored subsystems.,Functional,GitHub SRS
"The diagnostic information window shall have a button labeled Print that when clicked will display a window listing items to print including the diagnostic information window, the history window, and both the diagnostic and history windows.",Functional,GitHub SRS
The diagnostic information window shall have a button labeled Close that shall dismiss the window.,Functional,GitHub SRS
The diagnostic information window shall have a button labeled History that when clicked will display the diagnostic history window and display the previous weeks diagnostic results.,Functional,GitHub SRS
The diagnostic history window shall display historical diagnostic results for a specific diagnostic.,Functional,GitHub SRS
The diagnostic history window shall provide user selections for start times and end times for the history interval.,Functional,GitHub SRS
The diagnostic history window shall display data in intervals of one week or greater.,Functional,GitHub SRS
The diagnostic history window shall display a maximum time interval of two years.,Functional,GitHub SRS
"The color map of the history window shall indicate confirmed faults with the color red,potential faults with the color yellow, normal conditions with the color green, and periods when diagnostic processing was not active with the color gray.",Functional,GitHub SRS
The vertical axis of the color map of the history window shall indicate hour of the day and the horizontal axis shall indicate the absolute date and the day of week.,Functional,GitHub SRS
"The diagnostic history window shall have a button labeled Print that when clicked will display a window listing items to print including the diagnostic information window, the history window, and both the diagnostic and history windows.",Functional,GitHub SRS
The diagnostic history window shall have a button labeled Close that will dismiss the window.,Functional,GitHub SRS
"The subsystems window, condition window, and diagnostic information window shall display a title that indicates its specific location or absolute path in the navigation hierarchy of windows",Functional,GitHub SRS
"The main window, subsystems window, and condition window shall have three diagnostic indicators for each item listed.",Functional,GitHub SRS
"An OK indicator, appearing green, shall signify the absence of any diagnostic conditions.",Functional,GitHub SRS
A yellow Caution indicator will be used to signify potential diagnostic issues.,Functional,GitHub SRS
A red Not OK indicator will be active to signify a confirmed diagnostic condition.,Functional,GitHub SRS
Only one indicator shall be active at a given time for a specific diagnostic and no indicators shall flash when active.,Functional,GitHub SRS
The diagnostic indicators on the main window and subsystems window shall summarize all diagnostic conditions associated with each entry in the window.,Functional,GitHub SRS
The tool shall keep a permanent record of any modifications made to fixed data.,Functional,GitHub SRS
"The log shall indicate the time and date of the change, original value of the item(s) hanged, and the new value of the item(s)",Functional,GitHub SRS
The game shall only display the current block positions and not positions from canceled movements.,Functional,GitHub SRS
The system must allow a member of the network to send requests to a particular or all the other members about possible delivery of a driver's smart card to a similar person.,Functional,GitHub SRS
The system shall allow a member of the network to send a bulk request on all or a large part of its driver's smart card holders to a particular or all members of the network.,Functional,GitHub SRS
The system shall allow a member to do statistics on messages  issued and received from/to his system,Functional,GitHub SRS
The system shall provide automatic reply to the sender of the request through the use of a standard interface to the Members systems,Functional,GitHub SRS
The system shall track the workflow between senders and related  replies.,Functional,GitHub SRS
"The system shall be able, in accordance with the rules on delays for each transaction, to automatically transmit alert messages to senders/replier/administrator when, f.i. a onstraint on delay for reply is not fulfilled.",Functional,GitHub SRS
"The system shall allow the administrator to extract statistics of use, standard delay of reply by member/period, percentage of unsuccessful transaction.",Functional,GitHub SRS
The system shall provide the management of user rights and  permissions,Functional,GitHub SRS
"The system shall be able to define and manage various type of messages already in the drivers smart card holder like predelivery check, stolen/lost cards, renewals, exchanges and duplicates",Functional,GitHub SRS
The system shall be able to include new members in the network through simple administrative tasks.,Functional,GitHub SRS
The system shall be highly automatic to relieve the users of as many repetitive and tedious tasks as possible.,Non-Functional,GitHub SRS
"The system shall allow a Member State to ask for the status of card (lost, stolen) to the corresponding Card Issuing Authority of the ember State having issued the card.",Functional,GitHub SRS
The system shall facilitate law enforcement inquiries about driver's license status with issuing authorities by driver information or card details.,Functional,GitHub SRS
The system shall guide users through an interface based on end user concepts.,Non-Functional,GitHub SRS
The system shall be easy to learn and does not obstruct the thematic understanding of the users.,Non-Functional,GitHub SRS
The system shall make it easy to correct mistakes.,Non-Functional,GitHub SRS
"The system shall function reliably, with few or no interruptions in its first operational year and fewer still thereafter.",Non-Functional,GitHub SRS
The system shall give stable and reproducible results.,Non-Functional,GitHub SRS
There will be no restriction in time or place for the use of the software built from the specifications produced under this contract.,Non-Functional,GitHub SRS
The system shall be able to establish and keep the dialog with the Members systems despite the various technical environments and technologies used on their sites,Non-Functional,GitHub SRS
The system will be designed so that background tasks can continue while the user performs foreground tasks.,Non-Functional,GitHub SRS
The system shall deliver rapid responses to user requests under 24/7 operation for both internal and enforcement authority use (acceptable response time < 1 minute).,Non-Functional,GitHub SRS
The client will specify the header Content-Type: application/json in their requests as convention.,Functional,GitHub SRS
"An API query shall be a single URL parameter formulated as a single, clear question in standard English.",Functional,GitHub SRS
The client will be able to parse the JSON and determine if there was an error.,Functional,GitHub SRS
The server will send all API data in JSON response documents with the header Content-Type: application/json.,Functional,GitHub SRS
The server will respond with a 200 OK status code if a request has the header Content-Type: application/json and is a valid API query.,Functional,GitHub SRS
The server will respond with a 400 Bad Request status code if request does not specify the header Content-Type: application/json OR is a malformed API query.,Functional,GitHub SRS
This unit will receive a text string from the URL parameter.,Functional,GitHub SRS
"This unit will output the sentence as a string,",Functional,GitHub SRS
The information extraction unit shall populate the database before system startup to ensure immediate data accessibility.,Functional,GitHub SRS
There will be a designated phone number that users can send texts to.,Functional,GitHub SRS
The overall accuracy of the Web API's response will be measured using a developer-made testing set.,Non-Functional,GitHub SRS
The overall accuracy will be calculated by dividing the total number of correct answers by the number of questions asked.,Non-Functional,GitHub SRS
"Drexel staff's office locations, contact information, and positions will have accuracy greater than 70%.",Non-Functional,GitHub SRS
"On-campus dining locations, hours, food types, etc. will have accuracy greater than 50%.",Non-Functional,GitHub SRS
"Official events listed on Drexel website, location and hours will have accuracy greater than 40%.",Non-Functional,GitHub SRS
The average time for the server to respond will be less than or equal to 2 seconds.,Non-Functional,GitHub SRS
"The display shall have two regions, left 2/3 of the display is graphical right 1/3 of the display is a data table",Functional,GitHub SRS
The data displayed in both the nodes of the graph and the rows of the table will be MSEL Summary data.,Functional,GitHub SRS
The system shall ensure that projected Event/Activity data is readable by 90% of viewers on a 10x10 projection screen from a 30-foot viewing distance.,Non-Functional,GitHub SRS
"The system shall achieve 99% availability during the first six months of operation, excluding non-business hours.",Non-Functional,GitHub SRS
The system shall present projected data on a 10x10 screen such that 90% of viewers at 100 feet can identify ongoing Events or Activities.,Non-Functional,GitHub SRS
The product shall implement access control to distinguish between authorized and unauthorized users in all access attempts.,Non-Functional,GitHub SRS
The system shall be intuitive enough for 90% of new users to start displaying Events or Activities within 90 minutes of initial use.,Non-Functional,GitHub SRS
The user interface shall have standard menus buttons for navigation.,Non-Functional,GitHub SRS
The system shall have a professional appearance.,Non-Functional,GitHub SRS
The product shall produce search results in an acceptable time.,Non-Functional,GitHub SRS
The search results shall be returned no later 30 seconds after the user has entered the search criteria.,Non-Functional,GitHub SRS
The product shall be available for use 24 hours per day 365 days per year.,Non-Functional,GitHub SRS
"The system will achieve a future uptime of 99.9%, meaning it will be available for 999 out of every 1,000 access attempts.",Non-Functional,GitHub SRS
The product shall be able to support multiple remote users.,Non-Functional,GitHub SRS
"The system shall scale to accommodate the existing 1,000 users and a projected 5x growth within the next year.",Non-Functional,GitHub SRS
The system shall be compatible with Windows CE and Palm operating systems.,Non-Functional,GitHub SRS
The user shall be able to get driving directions to a selected property.,Functional,GitHub SRS
The system shall display clear property images in the search results.,Functional,GitHub SRS
The system shall update or create new property listings in the MLS.,Functional,GitHub SRS
Realtor shall be able to generate a CMA report based on property criteria.,Functional,GitHub SRS
The system shall be able to call the seller or buyer to schedule an appointment.,Functional,GitHub SRS
The system shall be able to handle all of the user requests/usage during business hours.,Non-Functional,GitHub SRS
The system shall interface with CampusConnect’s central server.,Non-Functional,GitHub SRS
The system shall be interoperable with any HTML browser.,Non-Functional,GitHub SRS
Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,Non-Functional,GitHub SRS
Students added to a cohort shall be eligible for the cohort’s Program of Study.,Functional,GitHub SRS
For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,Functional,GitHub SRS
A non-clinical class shall specify the course name lecture room requirements and instructor needs.,Functional,GitHub SRS
A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,Functional,GitHub SRS
A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,Functional,GitHub SRS
The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.,Functional,GitHub SRS
The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,Functional,GitHub SRS
The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,Functional,GitHub SRS
The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,Functional,GitHub SRS
The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort’s program of study and changes to a given week’s schedule.,Functional,GitHub SRS
The system shall ensure that all screens created for the Disputes application adhere to the corporate interface creation standards.,Functional,GitHub SRS
The list of dispute cases after a search shall be able to be color-coded for easy status identification.,Functional,GitHub SRS
100% of the card member and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,Functional,GitHub SRS
100% of card member services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,Functional,GitHub SRS
The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday – Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST.,Functional,GitHub SRS
"To resolve disputes, the Disputes application will rely solely on transaction details retrieved from the Statement Database.",Functional,GitHub SRS
The Disputes application shall retrieve all cardmember details directly from the Cardmember Information Database.,Functional,GitHub SRS
Disputes applications shall retrieve all merchant details directly from the Merchant Information Database for a more streamlined process.,Functional,GitHub SRS
The Disputes application shall send all letter requests for dispute initiation and follow up to the Print Letter Utility via an interface with the Letters application.,Functional,GitHub SRS
The Disputes application shall integrate with the Cardmember Posting and Billing System to directly request account adjustments.,Functional,GitHub SRS
Users shall only be able to initiate dispute requests if they have Update access.,Functional,GitHub SRS
All authenticated authorized users shall be granted access to the Disputes System.,Functional,GitHub SRS
"To ensure audit trails, the Disputes System shall generate reports detailing new user additions and access level changes.",Functional,GitHub SRS
All additions of new users and modifications to user’s access shall be recorded on the User Report.,Functional,GitHub SRS
A revoked user account shall only be re-instantiated by the System Administrator.,Functional,GitHub SRS
User shall be able to manipulate and view business data within the Disputes application.,Functional,GitHub SRS
System shall ensure that all updates to data files or databases are initiated from the Disputes System.,Functional,GitHub SRS
"User shall be able to access the Disputes System, which must conform to legal requirements specified by the Merchant Operating Regulations.",Functional,GitHub SRS
System shall ensure that all business rules specified in the Disputes System comply with Merchant Operating Regulations.,Functional,GitHub SRS
"User shall be able to access the Disputes System, which must also conform to legal requirements specified by Regulation E and Regulation Z governing credit card disputes processing.",Functional,GitHub SRS
"User shall have access to a detailed history of every action taken on a dispute case, ensuring a complete audit trail.",Functional,GitHub SRS
System shall record all actions that modify an existing dispute case in the case history.,Functional,GitHub SRS
"User shall be able to access the Disputes System, which must be accessible to both internal and external users.",Functional,GitHub SRS
System shall prevent users from accessing dispute cases that do not belong to their cardholder base.,Functional,GitHub SRS
User shall be able to initiate a dispute case and perform follow-up actions in real-time via the Disputes System.,Functional,GitHub SRS
System shall provide different levels of access for dispute case initiation and follow-up actions.,Functional,GitHub SRS
User shall have view access capability for authorized users within the Disputes System.,Functional,GitHub SRS
User shall have update access capability for authorized users within the Disputes System.,Functional,GitHub SRS
User shall be able to select disputable transactions and initiate disputes on them based on the age of the transaction.,Functional,GitHub SRS
System shall allow the user to initiate a single dispute case on multiple transactions belonging to a single merchant.,Functional,GitHub SRS
User shall have the ability to create or initiate ticket retrieval requests within the Disputes System.,Functional,GitHub SRS
System shall prompt the user to enter all required information for creating a ticket retrieval request.,Functional,GitHub SRS
"System shall prevent external users from requesting original receipts, restricting this action to internal users.",Functional,GitHub SRS
"System shall provide a confirmation to the user upon the creation of a ticket retrieval request, including the dispute case number, type of retrieval requested, and due date for the merchant response.",Functional,GitHub SRS
"The Disputes System shall allow users to create chargeback requests, prompting for required information and resulting in printed notifications sent to merchants if proof of disputed transactions is not provided.",Functional,GitHub SRS
"The Disputes System must provide confirmation upon chargeback request creation, containing dispute case number, type of chargeback requested, and merchant response due date.",Functional,GitHub SRS
The Disputes System shall prevent creation of duplicate dispute requests.,Functional,GitHub SRS
The Disputes System must provide viewing capability for existing dispute cases.,Functional,GitHub SRS
"The Disputes System must provide Search functionality allowing search by dispute case number, merchant account number, cardmember account number, and issuer number, with filtering options by date range, dispute type, case status, and reason code.",Functional,GitHub SRS
"A list of disputes meeting search criteria must be provided, differentiating by color-coded status.",Functional,GitHub SRS
The Disputes System shall provide users with the ability to view the history of all activities on dispute cases.,Functional,GitHub SRS
"The Dispute System shall enable users to follow up on dispute cases, filtering follow-up actions by case status and user access level.",Functional,GitHub SRS
"The Disputes System shall record user names and dates for all case-related activities, maintaining detailed audit history.",Functional,GitHub SRS
"For any systematic action, such as disputes aging process, a case activity will be generated, and the user who initiated the dispute case must be notified upon next logon.",Functional,GitHub SRS
All letter requests must adhere to formatting guidelines specified by the Print Letter Utility system.,Functional,GitHub SRS
Any disputes cases closed for over 6 months must be purged from the online disputes database.,Functional,GitHub SRS
"The product shall interface with the Choice Parts System, providing the feed of recycled parts data.",Non-Functional,GitHub SRS
The product shall run on existing hardware for all environments.,Non-Functional,GitHub SRS
The product shall adhere to corporate Architecture guidelines.,Non-Functional,GitHub SRS
The product shall comply with corporate User Interface Guidelines.,Non-Functional,GitHub SRS
The product shall comply with corporate color scheme.,Non-Functional,GitHub SRS
Professional appearance of the product is required.,Non-Functional,GitHub SRS
"The product must be user-friendly, with 95% of Adjusters and Collision Estimators finding it easy to use.",Non-Functional,GitHub SRS
"The product should enhance the productivity of Collision Estimators, with 80% agreeing their productivity has increased within one month.",Non-Functional,GitHub SRS
User satisfaction with the product is targeted at 85%.,Non-Functional,GitHub SRS
The product must be easily learnable within two days of onsite training for Adjusters and Collision Estimators.,Non-Functional,GitHub SRS
User help resources should be accessible within 90% of the system.,Non-Functional,GitHub SRS
The search for recycled parts must be completed within 15 seconds.,Non-Functional,GitHub SRS
The search for the preferred repair facility should be completed within 8 seconds.,Non-Functional,GitHub SRS
The recycled parts audit report must be returned within 10 seconds.,Non-Functional,GitHub SRS
Preferred repair facility ratings should be saved within 5 seconds.,Non-Functional,GitHub SRS
The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,Non-Functional,GitHub SRS
"The average number of recycled parts records per day shall be 50,000.",Non-Functional,GitHub SRS
"The product shall be able to handle 10,000 concurrent users within 2 years of the initial launch.",Non-Functional,GitHub SRS
"For estimators, the product shall be able to be operated in a repair facility during dirty and noisy conditions.",Non-Functional,GitHub SRS
Only adjusters can request recycled parts audit reports.,Non-Functional,GitHub SRS
Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,Non-Functional,GitHub SRS
One insurance company shall not be able to view another insurance company's claim data.,Non-Functional,GitHub SRS
The product shall be free of computer viruses.,Non-Functional,GitHub SRS
"The system shall prevent malicious attacks, including denial of service.",Non-Functional,GitHub SRS
The user shall search for the preferred repair facility using vehicle location and radius in miles.,Functional,GitHub SRS
"The vehicle data shall include vehicle year, make, and model.",Functional,GitHub SRS
"The vehicle location shall include street address, city, state, and zipcode.",Functional,GitHub SRS
"The system shall resolve the zipcode for the street address, city, and state if zipcode is unknown.",Functional,GitHub SRS
The search radius shall be between 1 and 30 miles.,Functional,GitHub SRS
The adjuster shall be able to override the preferred repair facility on the estimate assignment.,Functional,GitHub SRS
The user shall enter new ratings based on the audit report.,Functional,GitHub SRS
The ratings shall be from a scale of 1-10.,Functional,GitHub SRS
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,Non-Functional,GitHub SRS
A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,Non-Functional,GitHub SRS
The product’s Look and Feel shall be able to incorporate aspects of the customer’s organization such as logo branding and identity.,Non-Functional,GitHub SRS
The response shall be fast enough to avoid interrupting the user’s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,Non-Functional,GitHub SRS
Aside from server failure the software product shall achieve 99.99% up time.,Non-Functional,GitHub SRS
The product shall be capable of handling up to 1000 concurrent requests.,Non-Functional,GitHub SRS
The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,Non-Functional,GitHub SRS
"The product shall be able to process 10,000 transactions per hour within two years of its launch.",Non-Functional,GitHub SRS
"When creating a new session, the session creator shall assign one or more moderators.",Functional,GitHub SRS
"When creating a new session, the session creator shall assign the session a name.",Functional,GitHub SRS
"When creating a new session, the session creator shall create a problem description.",Functional,GitHub SRS
"When creating a new session, the session creator shall be able to set an open and close time and date.",Functional,GitHub SRS
"When creating a new session, the session creator shall be able to toggle whether the session is secure or not.",Functional,GitHub SRS
A moderator shall be able to edit a previously created session.,Functional,GitHub SRS
The session shall conclude after the specified amount of time has passed.,Functional,GitHub SRS
The session shall conclude if a specified amount of ideas has been generated.,Functional,GitHub SRS
The moderator shall be able to close a session at any time.,Functional,GitHub SRS
The moderator shall be able to open a closed session.,Functional,GitHub SRS
A moderator shall be able to assign the maximum number of participants to a session.,Functional,GitHub SRS
All sessions shall be able to have multiple moderators.,Functional,GitHub SRS
Session creators and moderators shall be able to import data from previously closed sessions into a currently open session.,Functional,GitHub SRS
All sessions shall be associated with a single EDGE project.,Functional,GitHub SRS
The moderator shall be able to specify a time warning until the current phase is completed.,Functional,GitHub SRS
The moderator shall be able to view a session management screen.,Functional,GitHub SRS
The users shall be able to add/edit/remove their own ideas.,Functional,GitHub SRS
The system shall inform the user if they have reached their limit of created nodes.,Functional,GitHub SRS
A Moderator shall be able to limit the number of nodes that an individual user can create.,Functional,GitHub SRS
A Moderator shall be able to limit the maximum number of nodes that can be created in a session.,Functional,GitHub SRS
All user created nodes shall be filtered for profanity and removed if any exists.,Functional,GitHub SRS
A Moderator shall be able to specify a warning for total ideas remaining.,Functional,GitHub SRS
A Moderator shall be able to specify a warning for total time remaining.,Functional,GitHub SRS
Users shall be verified upon logging in LDAP.,Functional,GitHub SRS
Users shall be able to select a session based on the FACET and the tool they wish to use.,Functional,GitHub SRS
The moderator shall be able to set a warning time to email users how many minutes are left in the current session.,Functional,GitHub SRS
The screen shall allow the moderator to filter/sort/view/edit/close sessions.,Functional,GitHub SRS
Secure sessions will require users to have been guest members before logging in.,Functional,GitHub SRS
A moderator shall be able to enter in teasers.,Functional,GitHub SRS
Teasers shall be tracked in the database the same as ideas are tracked.,Functional,GitHub SRS
Each idea shall be listed on its own line in a numbered list in the idea phase.,Functional,GitHub SRS
"By default, the page shall not auto scroll when new ideas are added into the list.",Functional,GitHub SRS
There shall be a setting to allow new ideas to be added to the top of the list.,Functional,GitHub SRS
Only a moderator shall be able to group ideas and specify a name for the group.,Functional,GitHub SRS
Users shall be able to flag inappropriate content.,Functional,GitHub SRS
Flagged ideas shall go to a separate moderator page for resolution.,Functional,GitHub SRS
The moderator shall be able to remove/edit any ideas during the idea and grouping phases.,Functional,GitHub SRS
Voters shall not be aware of multiplicity in ideas.,Functional,GitHub SRS
"The moderator shall be able to view all grouped ideas, including duplicates.",Functional,GitHub SRS
The idea field shall be limited to a maximum of 250 characters to match the current EDGE system limitation.,Functional,GitHub SRS
Moderators shall be able to combine groups with other groups.,Functional,GitHub SRS
Moderators shall be able to remove groups.,Functional,GitHub SRS
A Moderator shall be able to assign a number of votes for participants.,Functional,GitHub SRS
Users shall be able to vote for any individual idea or an idea group.,Functional,GitHub SRS
