text,type,type_full
"Download and notify users of new releases DESC: When a new/updated version or release of the software is released, the user should check for these manually. The download of the new release should be done through the mobile phone in the same way as downloading the mobile application.",F,Functional
"User registration - Mobile application DESC: Given that a user has downloaded the mobile application, then the user should be able to register through the mobile application. The user must provide user-name, password and e-mail address. The user can choose to provide a regularly used phone number.",F,Functional
"User log-in - Mobile application DESC: Given that a user has registered, then the user should be able to log in to the mobile application. The log-in information will be stored on the phone and in the future the user should be logged in automatically.",F,Functional
"Retrieve password DESC: Given that a user has registered, then the user should be able to retrieve his/her password by e-mail.",F,Functional
"Mobile application - Search DESC: Given that a user is logged in to the mobile application, then the first page that is shown should be the search page. The user should be able to search for a restaurant, according to several search options. The search options are Price, Destination, Restaurant type and Specific dish. There should also be a free text search option. A user should be able to select multiple search options in one search.",F,Functional
"Mobile application - Search result in a map view DESC: Search results can be viewed on a map. On the map, the relevant and closest restaurants according to the userâ€™s position are shown. A specific pin will represent a specific restaurant location. On each pin there should be an information link. There should be maximally 100 results displayed. The map view should have a default zoom. The map view should include a button that, when selected, should display different filtering options in a filtering menu.",F,Functional
"Mobile application - Search result in a list view Search results can be viewed in a list. Each element in the list represents a specific restaurant. Each element should include the restaurant name, telephone number, type of food, distance according to the userâ€™s position, average price, a short two-line description, a link to the restaurantâ€™s web-page and an information link. There should be maximally 100 results displayed. If the result contains more restaurants than what can be displayed on the screen at one time, the user should be able to scroll through them. When searching by price the restaurants should be sorted according to the following order: 1. average price 2. distance 3. restaurant type 4. specific dish When searching by a search option, other than price, the restaurants should be sorted according to the following order: 1. distance 2. average price 3. restaurant type 4. specific dish The list view should include a header with different selectable sorting options. The list view should include a button that, when selected, should display different filtering options in a filtering menu.",F,Functional
"Mobile application - Navigation to restaurant DESC: A user should be able to select a pin on a map or an element on a list. When a selection is made, the location of the restaurant should be sent to the mobile phoneâ€™s GPS-navigation program. The user should then be navigated to the destination. When the destination is reached, a user should be able to go back to the search page on the mobile application.",F,Functional
Mobile application - Switch result view DESC: A user should be able to switch between a map view and a list view for all search options.,F,Functional
"Mobile application - Selecting the information link DESC: A user should be able to select the information link, which is included on all result items. The link will direct the user to an information page, which includes a picture of the restaurant, the restaurant name, address, phone number, e-mail address, type of food, average price, restaurant description and a menu with name, description and price of the different dishes.",F,Functional
Mobile application - Search by price DESC: A user should be able to input a maximum and a minimum price range. The result is displayed in a list view by default.,F,Functional
"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default.",F,Functional
Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.,F,Functional
Mobile application - Search by restaurant type DESC: A user should be able to select a restaurant type in a given list as input. The result is displayed in a map view by default.,F,Functional
Mobile application - Search by specific dish DESC: A user should be able to select a specific dish in a given list as input. The result is displayed in a map view by default.,F,Functional
"Mobile application - Free-text search DESC: A user should be able to conduct a search by providing either restaurant name, restaurant description, restaurant address, restaurant type or restaurant menu in the free-text search field. The result is displayed in a map view by default.",F,Functional
Mobile application - No match found DESC: If no match is found the user should be informed but kept on the search page in order to get the possibility to conduct a new search right away.,F,Functional
"Mobile application - Sorting results DESC: When viewing the results in a list, a user should be able to sort the results according to price, distance, restaurant type, specific dish or restaurant name. When sorting by restaurant name, specific dish or restaurant type the results should be ordered alphabetically. When sorting by price the results should be ordered from cheapest to most expensive. When sorting by distance the results should be ordered from closets to furthest distance according to the userâ€™s position. When the sort button for a specific search option is clicked, then the order should be reversed and ordered in a descending matter. If the sort button is clicked again the order of the results should be reversed.",F,Functional
"Mobile application - Filtering results DESC: When viewing the results in a list or a map, a user should be able to filter the results in a filtering menu. The filtering options include: increasing or decreasing the maximum distance increasing or decreasing the maximum price choosing a restaurant type choosing a specific dish",F,Functional
"Mobile application - Profile page DESC: On the mobile application, a user should have a profile page. On the profile page a user can edit his/her information, which includes the password, e-mail address and phone number. A user should also be able to choose what language the mobile application should be set to. The different language choices are Swedish, English, Spanish and French.",F,Functional
Required information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user-name And password And address And e-mail address And phone number Then the restaurant owner should be able to apply for verification,F,Functional
Full information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user name And password And address And e-mail address And phone number And mobile number Then the restaurant owner should be able to apply for verification,F,Functional
Confirmed registration Given the restaurant owner has applied for verification And has not received a confirmation e-mail after registration When the restaurant owner receives a confirmation e-mail Then the restaurant owner should be able to log in,F,Functional
Successful log-in Given the restaurant owner wants to log in When the restaurant owner logs in with his/her account Then the restaurant owner should be logged in as a restaurant owner,F,Functional
Retrieve password Given the restaurant owner wants to log in And has lost the password When the restaurant owner enters his/her email address in the â€œRetrieve passwordâ€ form And submits the form Then the restaurant owner should receive an email containing the password,F,Functional
Show fields for managing information Given the restaurant owner is logged in When the restaurant owner wants to manage information Then the restaurant owner should be able to manage information in a form,F,Functional
Filling in mandatory fields Given the restaurant owner wants to fill in the mandatory fields of the form When the restaurant owner provides average price And address And e-mail address And phone number And restaurant name Then the restaurant owner has filled the mandatory fields of the form,F,Functional
Filling in optional fields Given the restaurant owner of a restaurant wants to fill in optional fields in the form When the restaurant owner provides restaurant description And menu And type of restaurant And picture of restaurant And mobile phone Then the restaurant owner has filled in optional fields in the form,F,Functional
Filling in menu field Given the restaurant owner wants to fill in the menu field in the form When the restaurant owner provides dish name And dish description And dish price Then the restaurant owner has filled in the menu field in the form,F,Functional
Adding information with mandatory fields Given the restaurant owner has filled in the mandatory fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added,F,Functional
Adding information with mandatory and optional fields Given the restaurant owner has filled in the mandatory fields of the form And filled in one or more optional fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added,F,Functional
Deleting information Given the restaurant owner is logged in And information exists When the restaurant owner deletes information Then the information should be deleted,F,Functional
Editing information Given the restaurant owner is logged in And information exists When the restaurant owner edits information Then the information should be edited,F,Functional
Select English as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects English as a new language Then the web-portal will show all text in English,F,Functional
Select Swedish as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects Swedish as a new language Then the web-portal will show all text in Swedish,F,Functional
Select French as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects French as a new language Then the web-portal will show all text in French,F,Functional
Select Spanish as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects Spanish as a new language Then the web-portal will show all text in Spanish,F,Functional
Successful log-in Given the administrator wants to log in When the administrator logs in with an administrator account Then the administrator should be logged in as an administrator,F,Functional
Verify a restaurant owner Given the administrator is logged in When the administrator verifies a restaurant owner Then the restaurant owner should be able to log in And the restaurant owner should be notified by a confirmation email,F,Functional
Reject a restaurant owner Given the administrator is logged in When the administrator rejects a restaurant owner Then the restaurant owner should not be able to log in And the restaurant owner should be notified by a rejection email,F,Functional
Add a new restaurant type Given the administrator is logged in When the administrator creates a new restaurant type Then the new restaurant type should be added to the list of restaurant types,F,Functional
Editing an existing restaurant type Given the administrator is logged in When the administrator edits an existing restaurant type Then the restaurant type should be updated in the list of restaurant types,F,Functional
Delete a restaurant type Given the administrator is logged in When the administrator deletes a restaurant type Then the deleted restaurant type should be removed from the list of restaurant types,F,Functional
Add a new dish Given the administrator is logged in When the administrator creates a new dish Then the new dish should be added to the list of dishes,F,Functional
Editing an existing dish Given the administrator is logged in When the administrator edits an existing dish Then the dish should be updated in the list of dishes,F,Functional
Delete a dish Given the administrator is logged in When the administrator deletes a dish Then the deleted dish should be removed from the list of dishes,F,Functional
Add restaurant information Given the administrator is logged in When the administrator adds restaurant information Then the information should be added to the restaurant,F,Functional
Delete restaurant information Given the administrator is logged in And information about a restaurant exists When the administrator deletes the information Then the information about the restaurant should be deleted,F,Functional
Edit restaurant information Given the administrator is logged in And information about a restaurant exists When the administrator edits the information Then the information about the restaurant should be edited,F,Functional
Edit an existing userâ€™s information Given the administrator is logged in When the administrator edits an existing user Then the user information should be updated,F,Functional
Delete/Inactivate an existing user Given the administrator is logged in When the administrator deletes an existing user Then the user should be deleted,F,Functional
Add a new restaurant owner Given the administrator is logged in When the administrator creates a new restaurant owner Then the new restaurant owner should be added,F,Functional
Edit an existing restaurant owner Given the administrator is logged in When the administrator edits an existing restaurant owner Then the restaurant owner information should be updated,F,Functional
Delete an existing restaurant owner Given the administrator is logged in When the administrator deletes an existing restaurant owner Then the restaurant owner should be deleted And the restaurant information should be deleted,F,Functional
Select English as preferred language Given the administrator wants to select a preferred language When the administrator selects English as a new language Then the web-portal will show all text in English,F,Functional
Select Swedish as preferred language Given the administrator wants to select a preferred language When the administrator selects Swedish as a new language Then the web-portal will show all text in Swedish,F,Functional
Select French as preferred language Given the administrator wants to select a preferred language When the administrator selects French as a new language Then the web-portal will show all text in French,F,Functional
Select Spanish as preferred language Given the administrator wants to select a preferred language When the administrator selects Spanish as a new language Then the web-portal will show all text in Spanish,F,Functional
Prominent search feature DESC: The search feature should be prominent and easy to find for the user.,F,Functional
"Usage of the search feature DESC: The different search options should be evident, simple and easy to understand.",F,Functional
Usage of the result in the list view DESC: The results displayed in the list view should be user friendly and easy to understand. Selecting an element in the result list should only take one click.,F,Functional
Usage of the result in the map view DESC: The results displayed in the map view should be user friendly and easy to understand. Selecting a pin on the map should only take one click.,F,Functional
Usage of the information link DESC: The information link should be prominent and it should be evident that it is a usable link. Selecting the information link should only take one click.,F,Functional
"In this case, user enters his/her username, name, surname, password, mail address sets a profile photo. When the user fills all necessary fields, an activation mail will be sent to users mail address. User will be able to log in and start using the system just after activating his/her account.",F,Functional
"In this case, user enters his/her username or email and his/her password and logs in the system.",F,Functional
"In this case, user touches log out button, and logs out of the system. The user will not use the system until he/she logs in again.",F,Functional
"In this case, user is able to search items. User can search items according to their price, their location, their category.",F,Functional
"In this case, user is able to browse the profiles other users. User can see the other users user names, profile photos, and the usersâ€™ items.",F,Functional
"In this case, user is able to browse categories according to his/her wishes. User can also see how many items each category has.",F,Functional
"In this case, user is able browse items. User can see the itemsâ€™ pictures, prices, and other features.",F,Functional
"In this case, user can change his/her username, email address, profile picture and password. If the user changes his/her username or password, a notification mail will be sent to the userâ€™s email address. The changes will apply if the user clicks on the link in the email.",F,Functional
"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.",F,Functional
"In this case, user can add the items he/she likes to his cart by touching â€œAdd to the cartâ€ button.",F,Functional
"In this case, the user can buy items he/she has added to cart with credits, if the items are available for buying with credits.",F,Functional
"In this case, if the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants.",F,Functional
"In this case, the user can approve the exchange that is offered by another user by clicking â€œApproveâ€ button.",F,Functional
"In this case, the user can decline the exchange that is offered by another user by clicking â€œDeclineâ€ button.",F,Functional
"In this case, the user notifies other user that the shipment of the item has started.",F,Functional
"In this case, the user can add as many as items he/she wants. The user can also set the price, set the amount, upload pictures of the item and add details of the item.",F,Functional
"In this case, the user can edit the items that he/she has already put on the system. The user can add/remove pictures, change the price and details of the item.",F,Functional
"In this case, if the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching â€œRemove the itemâ€ button.",F,Functional
"In this case, if the user no longer wishes to use the system, he/she can click â€œDelete Profileâ€ button. After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.",F,Functional
"In this case, the user can mark an item as a favorite so that he will be notified if any change is made to the item",F,Functional
"In this case, the user can rate and comment about the users whom he traded with.",F,Functional
The client will send a GET request to the Web API with the question as a URL parameter The client will specify the header Content-Type: application/json in their requests as convention. A valid API query is a single URL parameter containing one sentence that is a question in standard English.,F,Functional
"The server will reply with either data or an error, see R4.1.3.5. The client will be able to parse the JSON and determine if there was an error. The server will send all API data in JSON response documents with the header Content-Type: application/json. The server will respond with a 200 OK status code if a request has the header Content-Type: application/json and is a valid API query. The server will respond with a 400 Bad Request status code if a request does not specify the header Content-Type: application/json OR is a malformed API query.",F,Functional
"responses are defined in JSON, specified by [RFC 7159]. A JSON object will be the root of every API response. The response document will contain at least one of the following top-level members: Data: the documentâ€™s â€œprimary data,â€ in this case, the response to the clientâ€™s query. Errors: an array of error objects stating what went wrong with the clientâ€™s request, should any issues arise. The top-level members specified in R4.1.3.3 will not coexist in the same JSON document. If data is present, errors will be absent and vice versa.",API,API
"This unit will receive a text string from the URL parameter.â€‹ This unit will identify important words in the sentence and replace them with generic representations preceded by an escape character. (example: â€œPISBâ€ becomes â€œ$buildingâ€) â€‹This unit will output the sentence as a string, as described in R4. â€‹This unit will output a map of generic representations to the words they replaced.",F,Functional
"This unit will have a list of generic words related specifically to potential queries (examples: building, professor)",F,Functional
"An error during this process means there was a problem parsing the sentence and creating the generic question. In this case, return a message such as â€œSorry, I didnâ€™t understand that.â€",F,Functional
This unit will receive the output sentence from the Generic Question Construction unit as input (R4.2.1.3).,F,Functional
This unit will generate a generic answer sentence using the input. (example: â€œWhat time does $building close?â€ becomes â€œ$building closes at $closetime.â€). This unit will output the generic answer sentence described,F,Functional
"If there was an error here, then the unit failed to create a generic answer given a generic sentence. In this case, simply fallback to the error handling described in R4.4.2.1",F,Functional
This unit will receive as input a mapping from the Generic Question Construction unit,F,Functional
This unit will receive as input a generic answer from the Generic Answer Construction unit,F,Functional
This unit will query the database for data about the elements in the mapping,F,Functional
This unit will replace the representations in the generic answer with data.,F,Functional
"This unit will output the answer to the original question, as described in R4.4.1.3.",F,Functional
"If querying the database did not provide an answer, the system will say that it does not have an answer and provide appropriate website link where the user could find the answer. Example message, â€œI donâ€™t know when Rush Building closes, but here is the website of the building.",F,Functional
"If the system could not find appropriate website associated with the question, the system will return a generic error message such as â€œSorry, I couldnâ€™t find an answer to that.â€",F,Functional
MySQL database will be used to store all information required to answer questions.,A,Availability
"The database is populated by the information extraction unit before the rest of the system is available, so that all information is readilyaccessible.",F,Functional
The database will use the generic representations from R4.2.2.1 as table names or column headers for easier retrieval of data.,F,Functional
The database will be updated periodically and the API will be unavailable during the update.,F,Functional
Structural data sources will have their data stored in our database,F,Functional
"For data with enough structuring, web scraping will be used to programmatically extract all the data needed and store it in our database.",F,Functional
"For totally unstructured information, AI libraries will be used to programmatically extract and store any information possible",F,Functional
"Data that is especially hard to extract, for whatever reason, will be manually extracted and added to the database by a developer.",F,Functional
The GUI will have a textbox that will accept inputs from a keyboard.,F,Functional
"Text box will originally contain a suggestive text question, to guide the user to the format of an appropriate question.",F,Functional
The GUI will have a â€œSendâ€ button which sends text from the textbox to the API when clicked,F,Functional
The GUI will have a chat window displaying questions sent to the system and responses from the API.,F,Functional
"The chat window will contain all questions and answers from the current session, with a scroll bar if all messages canâ€™t fit on the screen.",F,Functional
"If there is a network issue, the chat window will display an error message.",F,Functional
There will be a designated phone number that users can send texts to. â€‹,F,Functional
"Texts sent to that number will be sent to the API, then the system will reply to the user with the answer as another text message.",F,Functional
"If a question is not understood by our API, the system will send a text containing an example question after the text with the API response.",F,Functional
Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute,F,Functional
The system shall be able to handle 1000 customers logged in concurrently at the same time.,F,Functional
The app shall run on a smart phone with Android OS least version 2.3 .,NFR,Non-Functional
The icons shall be according to the Android Icon Guidelines.,NFR,Non-Functional
The user interfaces shall be according to the Android User Interface Guidelines.,NFR,Non-Functional
"The Twitter ""tweet"" interface shall be according to the Twitter Guidelines.",NFR,Non-Functional
"The Facebook ""like"" interface shall be according to the Facebook Guidelines.",NFR,Non-Functional
The campus map shall cover the campus of the TU/e.,NFR,Non-Functional
The campus map shall cover the central train station of Eindhoven.,NFR,Non-Functional
A new stylistic map must have the right dimensions.,NFR,Non-Functional
A new stylistic map must be geographically correct.,NFR,Non-Functional
News will be restricted to what is available in the feeds on the list of news RSS-feeds.,NFR,Non-Functional
Agenda will be restricted to what is available in the feeds on the list of agenda RSS-feeds.,NFR,Non-Functional
Information about a certain person will be restricted to what is available on the employee pages of the TU/e Encyclopedia.,NFR,Non-Functional
The information and the search methods of the Encyclopedia-app will be restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,NFR,Non-Functional
The information and the search methods of the Student Handbook-app will be restricted depending on file format of the handbook-information.,NFR,Non-Functional
"The search response time for the system must consistently be within two seconds, with an ideal goal of one second, based on measurments from 1000 searches during testing.",NFR,Non-Functional
"System dependability ensures users are informed of any issues for trusted system performance , measured during testing and prioritized highly.",NFR,Non-Functional
"The application should ideally use less than 10 MB of storage space, with a hard limit of 20 MB.",NFR,Non-Functional
"The applications memory usage on the mobile operating system should ideally be below 10 MB, with a strict limit of 20 MB during operation.",NFR,Non-Functional
"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",NFR,Non-Functional
"The system should be accessible to users more than 98% of the time, ideally aiming for 99% or even continuous uptime.",NFR,Non-Functional
The application requires an internet connection to function.,NFR,Non-Functional
The application requires a GPS connection for functionality.,NFR,Non-Functional
Login communication must be 100% encrypted to prevent usernames and passwords from being intercepted during data exchange between the application and server.,NFR,Non-Functional
The restaurant owner login system must always prevent unauthorized access by notifying users of failed login attempts with non-existent accounts.,NFR,Non-Functional
The admin login system must always block unauthorized access and notify admins of failed login attempts with non-existent accounts.,NFR,Non-Functional
"To prevent unauthorized access, restaurant owner accounts will be locked for 30 minutes after three failed login attempts, disabling login functionality during that period.",NFR,Non-Functional
"Admin accounts will be secured by a 30-minute lockout following three failed login attempts, preventing access from that IP address during the lockout period.",NFR,Non-Functional
"The system will enforce unique usernames during user account creation, prompting users to choose a different username if their desired one is already taken.",NFR,Non-Functional
"Restaurant owner account creation prioritizes security by enforcing unique usernames, requiring them to choose a different option if their desired name is unavailable.",NFR,Non-Functional
"The application's code structure should be designed for easy extension, facilitating the addition of new features.",NFR,Non-Functional
The application will require well-defined test environments to ensure thorough testing of its various functionalities.,NFR,Non-Functional
The application should be designed for easy porting between iOS and Android platforms.,NFR,Non-Functional
"The system must support 10,000 concurrent users with a maximum response time of 2 seconds.",NFR,Non-Functional
"The system will be developed using Waterfall methodology, Object-Oriented Programming in Java, targeting Android devices 2.3 onwards with a mandatory internet connection.",NFR,Non-Functional
​ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR,Non-Functional
The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,NFR,Non-Functional
The accuracy of the Generic Question Construction​ part will be close to 80%,NFR,Non-Functional
"A Drexel University Web API is being designed to answer questions about campus facilities, staff, policies, dining, and food trucks, with accuracy ranging from 40% for food trucks to 80% for generic question construction.",NFR,Non-Functional
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NFR,Non-Functional
Users should be able to easily understand and select results from the list with just a single click.,NFR,Non-Functional
"Map results should be clear and user-friendly, allowing selection of any pin with a single click.",NFR,Non-Functional
"The information link for each result should be clear, easy to identify, and open with just a single click.",NFR,Non-Functional
The user interface should be GUI based.,NFR,Non-Functional
The user shall be able to enter data using a cell phone keypad layout.,NFR,Non-Functional
Users shall be able to configure settings both locally on the device and remotely.,NFR,Non-Functional
The system shall provide selection menus to minimize the need for manual typing of options.,NFR,Non-Functional
Application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power.,NFR,Non-Functional
Secure connection to an internal system shall be required for user login and identification.,NFR,Non-Functional
Users shall be able to trust and understand the system through its simplicity and transparency.,NFR,Non-Functional
The system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy.,NFR,Non-Functional
The system shall employ encryption for all privacy-sensitive data at rest to ensure both security and basic functionality.,NFR,Non-Functional
The system shall allow users to create unverified (anonymous) avatars or aliases.,NFR,Non-Functional
"The system shall empower end-users to manage their private data, including the option to delete their personal repository.",NFR,Non-Functional
"The system shall be multilingual, supporting English, Turkish, Finnish, and Italian for international deployment.",NFR,Non-Functional
The system shall support the display of all user interface text elements in both English and Dutch.,NFR,Non-Functional
The system shall allow qualified programmers to extend functionality through adding sub-apps and launchers.,NFR,Non-Functional
The system shall allow authorized users to delete sub-apps and their launchers within the main application.,NFR,Non-Functional
"The system shall allow application maintainers to configure information sources for sub-applications like agenda, news, Facebook, and Twitter.",NFR,Non-Functional
"For non-programmers, the system shall allow customization of the application's visual style (colors and icons) for easy maintenance.",NFR,Non-Functional
"The application shall be extensible, allowing skilled Java Android programmers to add new sub-applications with launchers to the main interface.",NFR,Non-Functional
Radford University students shall use their RU credentials to access automatic class schedule and assignment sharing.,NFR,Non-Functional
"The system shall operate primarily offline, with networked authentication components functioning only when Radford University's systems are available.",NFR,Non-Functional
The system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities.,NFR,Non-Functional
"The system shall function as a reusable semester-to-semester application for returning students, offering automatic class schedule updates and integration with the Radford University mobile app.",NFR,Non-Functional
The overall accuracy shall be calculated by dividing total number of correct answers by the number of questions asked.,NFR,Non-Functional
The accuracy of the Generic Question Construction​ part will be close to 80%.,NFR,Non-Functional
The accuracy of the Generic Answer Construction​ unit will be close to 70%.,NFR,Non-Functional
The accuracy of the Generic Answer Population​ unit will be close to 70%.,NFR,Non-Functional
The FAU class ensures security-relevant events are logged and identifies what information should be included in those logs.,NFR,Non-Functional
"The system shall be designed for high performance with optimized server queries, instantaneous screen transitions, and sub-second cost-division computation.",NFR,Non-Functional
"SplitPay will prioritize user safety by ensuring it doesn't interfere with other apps or data, and in the future, the application will warn users against using it when focus is critical.",NFR,Non-Functional
The system shall prioritize convenience over robust user authentication by relying solely on Google email verification in the future.,NFR,Non-Functional
"SplitPay's user interface will prioritize usability and clarity, featuring a visually-appealing design and leveraging informative notifications and pop-ups to guide users in the future.",NFR,Non-Functional
"The system will prioritize error-free expense splitting calculations while offering full app functionality offline, caching financial data until reconnected.",NFR,Non-Functional
All text elements in the user interfaces shall be presented in the selected language.,F,Functional
The system shall support the English language.,F,Functional
The system shall support Dutch as a user interface language.,F,Functional
Sub-apps and their launchers shall be added to the main app by a qualified programmer.,F,Functional
Sub-apps and their launchers in the main app shall be deleted by a qualified programmer.,F,Functional
"System shall be able to change the colors used in the user interfaces of the sub-apps and main application, excluding external resources.",F,Functional
"System shall be able to change the fonts used in the user interfaces of the sub-apps and main application, excluding external resources.",F,Functional
"System shall be able to change the icons used in the user interfaces of the sub-apps and main application, excluding external resources.",F,Functional
"System shall be able to change the buttons used in the user interfaces of the sub-apps and main application, excluding external resources.",F,Functional
"System shall be able to change the background used in the user interfaces of the sub-apps and main application, excluding external resources.",F,Functional
"System shall be able to change the text elements used in the user interfaces of the sub-apps and main application, excluding external resources.",F,Functional
The system shall restrict language selection to the main application.,F,Functional
The default language of insErtion will be English.,F,Functional
The system shall display a launcher to the Map-app version 3.1.3 on the main menu.,F,Functional
The system shall display a launcher to the News-app version 3.1.4 on the main menu.,F,Functional
The system shall display a launcher to the Agenda-app version 3.1.5 on the main menu.,F,Functional
The system shall display a launcher to the Facebook-app version 3.1.9 on the main menu.,F,Functional
The system shall display a launcher to the Twitter-app version 3.1.10 on the main menu.,F,Functional
The system shall display a launcher to the Employee-finder-app version 3.1.6 on the main menu.,F,Functional
"The system shall conditionally display a launcher to the Encyclopedia-app on the main menu, only when the Dutch language is selected.",F,Functional
"The system shall conditionally display a launcher to the Student handbook-app on the main menu, only when the Dutch language is selected.",F,Functional
The system shall be able to like insApption from the main menu.,F,Functional
The system shall be able to tweet about insApption from the main menu.,F,Functional
The system shall provide a link to the Twitter settings menu.,F,Functional
The system shall provide a link to the Facebook settings menu.,F,Functional
"In the Twitter settings menu, the user shall be able to save their username and password for Twitter.",F,Functional
"In the Facebook settings menu, the user shall be able to save their username and password for Facebook.",F,Functional
"In the Twitter settings menu, the system shall allow the user to delete their saved username and password for Twitter.",F,Functional
"In the Facebook settings menu, the system shall allow the user to delete their saved username and password for Facebook.",F,Functional
System shall be able to modify the appearance of the separate launchers.,F,Functional
System shall be able to search for a certain building on the campus of the TU/e by name.,F,Functional
System shall be able to search for a certain POI on the campus of the TU/e by name.,F,Functional
System shall be able to display a set of buildings that match the search input for queries described in requirements UCR201 and UCA202.,F,Functional
System shall be able to display a set of POI's that match the search input when a user performs a search by name.,F,Functional
"System shall be able to display an element from the search result (buildings or POIs) in the map view, following requirements UCAR201, UCAR202, and UCAR203.",F,Functional
System shall be able to navigate between buildings on the campus.,F,Functional
System shall be able to navigate from a building to a POI on the campus.,F,Functional
System shall be able to navigate from a POI to a building on the campus.,F,Functional
System shall be able to navigate between POIs on the campus.,F,Functional
"System shall be able to navigate from a POI to another location on the campus (which could be a building, street, etc.).",F,Functional
System shall be able to navigate from a street on the campus to another location on the campus.,F,Functional
System shall be able to switch between different means of transportation while navigating.,F,Functional
System shall be able to search for the from-location by the name of a building.,F,Functional
System shall be able to search for the from-location by the address of a building.,F,Functional
System shall be able to search for the from-location by the name of a POI.,F,Functional
System shall allow selecting the from-location from the search results obtained based on requirements UCAR211 and UCAR212 (presumably for building and POI searches).,F,Functional
System shall be able to allow selecting the from-location on the map.,F,Functional
System shall be able to search for the to-location by the name of a building.,F,Functional
System shall be able to search for the to-location by the address of a building.,F,Functional
System shall be able to search for the to-location by the name of a POI.,F,Functional
System shall allow selecting the to-location from the search results obtained based on requirements UCAR215 and UCAR216 (presumably for building and POI searches).,F,Functional
System shall be able to allow selecting the to-location on the map.,F,Functional
System shall be able to show the route planned by the navigator in the map view.,F,Functional
System shall display a stylistic map view in the application.,F,Functional
System shall display a satellite map view in the application.,F,Functional
System shall be able to allow users to switch between the stylistic and satellite map views.,F,Functional
System shall be able to allow users to zoom in and out of the map view.,F,Functional
System shall be able to allow users to pan around the map view.,F,Functional
System shall: Show the user's current location on the map view.,F,Functional
System shall be able to indicate POIs of a building.,F,Functional
System shall be able to allow users to tweet their current location.,F,Functional
System shall be able to allow users to change their Facebook status to include their current location.,F,Functional
Administrators shall be able to change the stylistic map.,F,Functional
Administrators shall be able to add buildings.,F,Functional
Administrators shall be able to remove buildings.,F,Functional
Administrators shall be able to add vertices to paths used in the route planner.,F,Functional
Administrators shall be able to remove vertices from paths used in the route planner.,F,Functional
Administrators shall be able to remove edges from paths used in the route planner.,F,Functional
Administrators shall be able to add edges to paths used in the route planner.,F,Functional
"Administrators shall be able to add POIs associated with a specific building, floor, and room number.",F,Functional
"Administrators shall be able to remove POIs associated with a specific building, floor, and room number.",F,Functional
"Administrators shall be able to link a POI to a specific building, floor, and room number.",F,Functional
"Administrators shall be able to unlink a POI from a specific building, floor, and room number.",F,Functional
System shall show titles of all news items available through the news RSS feeds on the title screen.,F,Functional
System shall show the first lines of news articles based on the titles on the title screen.,F,Functional
System shall display the full news report after a user chooses the corresponding news title.,F,Functional
User shall be able to like a certain news item.,F,Functional
User shall be able to tweet a certain news item.,F,Functional
Administrators shall be able to modify the list of English news RSS feeds.,F,Functional
Administrators shall be able to modify the list of Dutch news RSS feeds.,F,Functional
System shall show upcoming events on the title screen when the agenda app is started.,F,Functional
